"Nr.";"Uþsakymas(-ai)";"Sàskaitos Nr.";"Mokëtojas / kam iðraðyta";"Apmokëjimøsuma";"Uþsakovas(-ai)";"Iðraðymodata";"Atidejimas";"Apmokëtiiki";"Vëlavimas";"Sumasu PVM";"Valiuta";"SumaEUR";"Suma be PVMEUR";"Apmoketaiðvisosàskaitosvaliuta";"Likoapmokëtisàskaitosvaliuta";"Apmokëtaviso eur";"Likoapmokëtieurais";"Apmokëjimøinfo"
"29";"2024-343";"LOG0005399";;;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"1000";"EUR";"1000";"1000";"1000";"0";"1000";"0";"1000 EUR 2024-07-26 "
"30";"2024-588";"LOG0005623";;;"UAB Transekspedicija";"2024-09-24";"45";"2024-11-08";" ";"568,7";"EUR";"568,7";"470";"568,7";"0";"568,7";"0";"568.7 EUR 2024-11-12 "
"31";"2024-055";"LOG0005111";;;"UAB Transekspedicija";"2024-01-31";"45";"2024-03-16";" ";"1790,8";"EUR";"1790,8";"1480";"1790,8";"0";"1790,8";"0";"1790.8 EUR 2024-03-25 "
"32";"2024-536";"LOG0005578";;;"UAB Transekspedicija";"2024-09-04";"45";"2024-10-19";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-10-23 "
"33";"2024-234";"LOG0005290";;;"UAB Transekspedicija";"2024-04-15";"45";"2024-05-30";" ";"157,3";"EUR";"157,3";"130";"157,3";"0";"157,3";"0";"96.8 EUR 2024-06-09 SUDENGIMAS60.5 EUR 2024-06-05 "
"34";"2024-204";"LOG0005258";;;"UAB Transekspedicija";"2024-03-29";"45";"2024-05-13";" ";"399,3";"EUR";"399,3";"330";"399,3";"0";"399,3";"0";"399.3 EUR 2024-05-20 "
"35";"2024-157";"LOG0005213";;;"UAB Transekspedicija";"2024-03-14";"45";"2024-04-28";" ";"387,2";"EUR";"387,2";"320";"387,2";"0";"387,2";"0";"387.2 EUR 2024-05-20 "
"36";"2024-130";"LOG0005187";;;"UAB Transekspedicija";"2024-03-06";"45";"2024-04-20";" ";"350";"EUR";"350";"350";"350";"0";"350";"0";"350 EUR 2024-04-29 "
"37";"2024-097";"LOG0005155";;;"UAB Transekspedicija";"2024-02-21";"45";"2024-04-06";" ";"1452";"EUR";"1452";"1200";"1452";"0";"1452";"0";"1452 EUR 2024-04-29 "
"38";"2024-323";"LOG0005379";;;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"713,9";"EUR";"713,9";"590";"713,9";"0";"713,9";"0";"713.9 EUR 2024-07-26 "
"39";"2024-661";"LOG0005699";;;"UAB Transekspedicija";"2024-10-25";"45";"2024-12-09";" ";"592,9";"EUR";"592,9";"490";"592,9";"0";"592,9";"0";"592.9 EUR 2024-12-10 "
"40";"2024-587";"LOG0005622";;;"UAB Transekspedicija";"2024-09-24";"45";"2024-11-08";" ";"211,75";"EUR";"211,75";"175";"211,75";"0";"211,75";"0";"211.75 EUR 2024-11-12 "
"41";"2024-741";"LOG0005782";;;"UAB Transekspedicija";"2024-11-29";"45";"2025-01-13";" ";"665,5";"EUR";"665,5";"550";"665,5";"0";"665,5";"0";"665.5 EUR 2025-01-29 "
"42";"2024-483";"LOG0005526";;;"UAB Transekspedicija";"2024-07-31";"45";"2024-09-14";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-09-20 "
"43";"2024-329";"LOG0005385";;;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-07-26 "
"44";"2024-571";"LOG0005609";;;"UAB Transekspedicija";"2024-09-18";"45";"2024-11-02";" ";"459,8";"EUR";"459,8";"380";"459,8";"0";"459,8";"0";"459.8 EUR 2024-11-07 "
"45";"2024-123";"LOG0005180";;;"UAB Transekspedicija";"2024-02-28";"45";"2024-04-13";" ";"750,2";"EUR";"750,2";"620";"750,2";"0";"750,2";"0";"750.2 EUR 2024-04-18 "
"46";"2024-191";"LOG0005244";;;"UAB Transekspedicija";"2024-03-21";"45";"2024-05-05";" ";"133,1";"EUR";"133,1";"110";"133,1";"0";"133,1";"0";"133.1 EUR 2024-05-08 "
"47";"2024-276";"LOG0005333";;;"UAB Transekspedicija";"2024-05-14";"45";"2024-06-28";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2024-07-04 "
"48";"2024-415";"LOG0005461";;;"UAB Transekspedicija";"2024-07-15";"45";"2024-08-29";" ";"580";"EUR";"580";"580";"580";"0";"580";"0";"580 EUR 2024-09-03 "
"49";"2024-482";"LOG0005525";;;"UAB Transekspedicija";"2024-07-31";"45";"2024-09-14";" ";"834,9";"EUR";"834,9";"690";"834,9";"0";"834,9";"0";"834.9 EUR 2024-09-20 "
"50";"2024-620";"LOG0005672";;;"UAB Transekspedicija";"2024-10-10";"45";"2024-11-24";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2024-11-29 "
"51";"2024-103";"LOG0005160";;;"UAB Transekspedicija";"2024-02-21";"45";"2024-04-06";" ";"520,3";"EUR";"520,3";"430";"520,3";"0";"520,3";"0";"520.3 EUR 2024-04-18 "
"52";"2024-155";"LOG0005211";;;"UAB Transekspedicija";"2024-03-14";"45";"2024-04-28";" ";"314,6";"EUR";"314,6";"260";"314,6";"0";"314,6";"0";"314.6 EUR 2024-04-29 "
"53";"2024-556";"LOG0005595";;;"UAB Transekspedicija";"2024-09-16";"45";"2024-10-31";" ";"520,3";"EUR";"520,3";"430";"520,3";"0";"520,3";"0";"520.3 EUR 2024-11-05 "
"54";"2024-282";"LOG0005339";;;"UAB Transekspedicija";"2024-05-15";"45";"2024-06-29";" ";"163,35";"EUR";"163,35";"135";"163,35";"0";"163,35";"0";"163.35 EUR 2024-07-08 "
"55";"2024-687";"LOG0005729";;;"UAB Transekspedicija";"2024-11-11";"45";"2024-12-26";" ";"1197,9";"EUR";"1197,9";"990";"1197,9";"0";"1197,9";"0";"1197.9 EUR 2025-01-06 "
"56";"2024-562";"LOG0005601";;;"UAB Transekspedicija";"2024-09-16";"45";"2024-10-31";" ";"157,3";"EUR";"157,3";"130";"157,3";"0";"157,3";"0";"157.3 EUR 2024-11-05 "
"57";"2024-585";"LOG0005620";;;"UAB Transekspedicija";"2024-09-24";"45";"2024-11-08";" ";"532,4";"EUR";"532,4";"440";"532,4";"0";"532,4";"0";"532.4 EUR 2024-11-28 "
"58";"2024-327";"LOG0005383";;;"UAB Transekspedicija";"2024-06-07";"45";"2024-07-22";" ";"653,4";"EUR";"653,4";"540";"653,4";"0";"653,4";"0";"653.4 EUR 2024-07-26 "
"59";"2024-723";"LOG0005767";;;"UAB Transekspedicija";"2024-11-19";"45";"2025-01-03";" ";"344,85";"EUR";"344,85";"285";"344,85";"0";"344,85";"0";"344.85 EUR 2025-01-10 "
"60";"2024-134";"LOG0005191";;;"UAB Transekspedicija";"2024-03-06";"45";"2024-04-20";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-04-29 "
"61";"2024-693";"LOG0005735";;;"UAB Transekspedicija";"2024-11-11";"45";"2024-12-26";" ";"181,5";"EUR";"181,5";"150";"181,5";"0";"181,5";"0";"181.5 EUR 2025-01-06 "
"62";"2024-300";"LOG0005357";;;"UAB Transekspedicija";"2024-05-23";"45";"2024-07-07";" ";"423,5";"EUR";"423,5";"350";"423,5";"0";"423,5";"0";"423.5 EUR 2024-09-19 "
"VISO:";"";"";"";"";"";"";"";"";"";"31224.1";"";"31224.1";"26140";"31224.1";"0";"31224.1";"0";""
"63";"2024-771";"LOG0005815";"SIA MX Transport";;"SIA MX Transport";"2024-12-16";"45";"2025-01-30";" ";"290";"EUR";"290";"290";"290";"0";"290";"0";"30 EUR 2025-02-17 uzdengimas260 EUR 2025-04-15 "
"64";"2024-423";"LOG0005469";;;"SIA MX Transport";"2024-07-15";"45";"2024-08-29";" ";"260";"EUR";"260";"260";"260";"0";"260";"0";"260 EUR 2024-09-19 "
"65";"2024-635";"LOG0005680";;;"SIA MX Transport";"2024-10-10";"45";"2024-11-24";" ";"500";"EUR";"500";"500";"500";"0";"500";"0";"500 EUR 2024-11-29 "
"66";"2024-634";"LOG0005679";;;"SIA MX Transport";"2024-10-10";"45";"2024-11-24";" ";"250";"EUR";"250";"250";"250";"0";"250";"0";"250 EUR 2025-02-17 uzdengimas"
"VISO:";"";"";"";"";"";"";"";"";"";"1300";"";"1300";"1300";"1300";"0";"1300";"0";""
"67";"2024-107";"LOG0005164";"UAB Logiset";;"UAB Logiset";"2024-02-21";"30";"2024-03-22";" ";"580,8";"EUR";"580,8";"480";"580,8";"0";"580,8";"0";"580.8 EUR 2024-04-12 "
"68";"2024-085";"LOG0005143";;;"UAB Logiset";"2024-02-14";"30";"2024-03-15";" ";"653,4";"EUR";"653,4";"540";"653,4";"0";"653,4";"0";"653.4 EUR 2024-04-12 "
