"Nr.";"Uþsakymas(-ai)";"Sàskaitos Nr.";"Mokëtojas / kam iðraðyta";"Apmokëjimøsuma";"Uþsakovas(-ai)";"Iðraðymodata";"Atidejimas";"Apmokëtiiki";"Vëlavimas";"Sumasu PVM";"Valiuta";"SumaEUR";"Suma be PVMEUR";"Apmoketaiðvisosàskaitosvaliuta";"Likoapmokëtisàskaitosvaliuta";"Apmokëtaviso eur";"Likoapmokëtieurais";"Apmokëjimøinfo"
"122";"2024-242";"LOG0005317";;;"MB Þali stogai";"2024-04-30";"30";"2024-05-30";" ";"133,1";"EUR";"133,1";"110";"133,1";"0";"133,1";"0";"133.1 EUR 2024-05-29 "
"123";"2025-074";"LOG0005879";;;"MB Þali stogai";"2025-04-28";"30";"2025-05-28";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2025-04-30 "
"124";"2025-062";"LOG0005871";;;"MB Þali stogai";"2025-03-31";"30";"2025-04-30";" ";"169,4";"EUR";"169,4";"140";"169,4";"0";"169,4";"0";"169.4 EUR 2025-06-18 "
"125";"2025-149";"LOG0005928";;;"MB Þali stogai";"2025-09-30";"30";"2025-10-30";"14d.";"629,2";"EUR";"629,2";"520";;"629,2";;"629,2";
"126";"2025-129";"LOG0005914";;;"MB Þali stogai";"2025-08-12";"30";"2025-09-11";" ";"435,6";"EUR";"435,6";"360";"435,6";"0";"435,6";"0";"435.6 EUR 2025-08-12 "
"VISO:";"";"";"";"";"";"";"";"";"";"3085.5";"";"3085.5";"2550";"2456.3";"629.2";"2456.3";"629.2";""
"127";"2025-1472025-150";"LOG0005926";"G. Fridriko Ámonë";;"G. Fridriko ÁmonëG. Fridriko Ámonë";"2025-09-30";"30";"2025-10-30";"14d.";"3690,5";"EUR";"3690,5";"3050";;"3690,5";;"3690,5";
"128";"2025-082";"LOG0005887";;;"G. Fridriko Ámonë";"2025-05-27";"30";"2025-06-26";" ";"229,9";"EUR";"229,9";"190";"229,9";"0";"229,9";"0";"229.9 EUR 2025-06-11 "
"129";"2025-0112025-014";"LOG0005835";;;"G. Fridriko ÁmonëG. Fridriko Ámonë";"2025-01-31";"30";"2025-03-02";" ";"3146";"EUR";"3146";"2600";"3146";"0";"3146";"0";"3146 EUR 2025-02-05 "
"130";"2025-043";"LOG0005859";;;"G. Fridriko Ámonë";"2025-03-17";"30";"2025-04-16";" ";"726";"EUR";"726";"600";"726";"0";"726";"0";"726 EUR 2025-06-18 "
"VISO:";"";"";"";"";"";"";"";"";"";"7792.4";"";"7792.4";"6440";"4101.9";"3690.5";"4101.9";"3690.5";""
"131";"2025-161";"LOG0005937";"UAB Kelmolis";;"UAB Kelmolis";"2025-10-31";"30";"2025-11-30";"Liko 17d.";"266,2";"EUR";"266,2";"220";;"266,2";;"266,2";
"132";"2024-532";"LOG0005636";;;"UAB Kelmolis";"2024-09-25";"30";"2024-10-25";" ";"169,4";"EUR";"169,4";"140";"169,4";"0";"169,4";"0";"169.4 EUR 2024-09-30 "
"133";"2025-1072025-124";"LOG0005904";;;"UAB KelmolisUAB Kelmolis";"2025-07-31";"30";"2025-08-30";" ";"647,35";"EUR";"647,35";"535";"647,35";"0";"647,35";"0";"647.35 EUR 2025-08-05 "
"134";"2024-602";"LOG0005722";;;"UAB Kelmolis";"2024-10-31";"30";"2024-11-30";" ";"121";"EUR";"121";"100";"121";"0";"121";"0";"121 EUR 2024-11-05 "
"VISO:";"";"";"";"";"";"";"";"";"";"1203.95";"";"1203.95";"995";"937.75";"266.2";"937.75";"266.2";""
"135";"2024-251";"LOG0005304";"UAB Raben Lietuva";;"UAB Raben Lietuva";"2024-04-26";"30";"2024-05-26";" ";"193,6";"EUR";"193,6";"160";"193,6";"0";"193,6";"0";"193.6 EUR 2024-06-25 "
"136";"2024-331";"LOG0005387";;;"UAB Raben Lietuva";"2024-06-07";"60";"2024-08-06";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-08-09 "
"137";"2024-629";"LOG0005668";;;"UAB Raben Lietuva";"2024-10-10";"60";"2024-12-09";" ";"459,8";"EUR";"459,8";"380";"459,8";"0";"459,8";"0";"459.8 EUR 2024-12-09 "
"138";"2024-450";"LOG0005494";;;"UAB Raben Lietuva";"2024-07-24";"30";"2024-08-23";" ";"387,2";"EUR";"387,2";"320";"387,2";"0";"387,2";"0";"387.2 EUR 2024-09-23 "
"VISO:";"";"";"";"";"";"";"";"";"";"1524.6";"";"1524.6";"1260";"1524.6";"0";"1524.6";"0";""
"139";"2024-547";"LOG0005586";"UAB Praimeks";;"UAB Praimeks";"2024-09-11";"45";"2024-10-26";" ";"210";"EUR";"210";"210";"210";"0";"210";"0";"210 EUR 2024-10-25 "
"140";"2024-701";"LOG0005746";;;"UAB Praimeks";"2024-11-15";"45";"2024-12-30";" ";"556,6";"EUR";"556,6";"460";"556,6";"0";"556,6";"0";"556.6 EUR 2025-01-02 "
"141";"2024-777";"LOG0005822";;;"UAB Praimeks";"2024-12-19";"45";"2025-02-02";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2025-02-03 "
"142";"2024-706";"LOG0005751";;;"UAB Praimeks";"2024-11-15";"45";"2024-12-30";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2025-01-02 "
"143";"2024-013";"LOG0005072";;;"UAB Praimeks";"2024-01-17";"45";"2024-03-02";" ";"1300";"EUR";"1300";"1300";"1300";"0";"1300";"0";"1300 EUR 2024-02-29 "
"144";"2024-416";"LOG0005462";;;"UAB Praimeks";"2024-07-15";"45";"2024-08-29";" ";"230";"EUR";"230";"230";"230";"0";"230";"0";"230 EUR 2024-08-27 "
"145";"2024-728";"LOG0005769";;;"UAB Praimeks";"2024-11-27";"45";"2025-01-11";" ";"411,4";"EUR";"411,4";"340";"411,4";"0";"411,4";"0";"411.4 EUR 2025-01-10 "
"146";"2024-586";"LOG0005621";;;"UAB Praimeks";"2024-09-24";"45";"2024-11-08";" ";"834,9";"EUR";"834,9";"690";"834,9";"0";"834,9";"0";"834.9 EUR 2024-11-06 "
"147";"2024-434";"LOG0005480";;;"UAB Praimeks";"2024-07-15";"45";"2024-08-29";" ";"370";"EUR";"370";"370";"370";"0";"370";"0";"370 EUR 2024-08-28 "
"148";"2024-040";"LOG0005096";;;"UAB Praimeks";"2024-01-29";"45";"2024-03-14";" ";"254,1";"EUR";"254,1";"210";"254,1";"0";"254,1";"0";"254.1 EUR 2024-03-12 "
"149";"2024-710";"LOG0005755";;;"UAB Praimeks";"2024-11-15";"45";"2024-12-30";" ";"170";"EUR";"170";"170";"170";"0";"170";"0";"170 EUR 2025-01-02 "
"150";"2024-716";"LOG0005761";;;"UAB Praimeks";"2024-11-15";"45";"2024-12-30";" ";"210";"EUR";"210";"210";"210";"0";"210";"0";"210 EUR 2025-01-02 "
"151";"2024-448";"LOG0005492";;;"UAB Praimeks";"2024-07-24";"45";"2024-09-07";" ";"629,2";"EUR";"629,2";"520";"629,2";"0";"629,2";"0";"629.2 EUR 2024-11-06 "
"VISO:";"";"";"";"";"";"";"";"";"";"6144.2";"";"6144.2";"5510";"6144.2";"0";"6144.2";"0";""
"152";"2024-245";"LOG0005298";"UAB TTP ARENA";;"UAB TTP ARENA";"2024-04-26";"30";"2024-05-26";" ";"1149,5";"EUR";"1149,5";"950";"1149,5";"0";"1149,5";"0";"1149.5 EUR 2024-05-31 "
"153";"2024-485";"LOG0005528";"UAB Naurida";;"UAB Naurida";"2024-07-31";"45";"2024-09-14";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-09-18 "
"154";"2024-594";"LOG0005629";;;"UAB Naurida";"2024-09-24";"45";"2024-11-08";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2024-11-13 "
"155";"2024-096";"LOG0005154";;;"UAB Naurida";"2024-02-21";"45";"2024-04-06";" ";"314,6";"EUR";"314,6";"260";"314,6";"0";"314,6";"0";"314.6 EUR 2024-04-10 "
"156";"2024-599";"LOG0005634";;;"UAB Naurida";"2024-09-24";"45";"2024-11-08";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-11-13 "
"VISO:";"";"";"";"";"";"";"";"";"";"1185.8";"";"1185.8";"980";"1185.8";"0";"1185.8";"0";""
"157";"2024-025";"LOG0005084";"UAB Masona";;"UAB Masona";"2024-01-18";"40";"2024-02-27";" ";"266,2";"EUR";"266,2";"220";"266,2";"0";"266,2";"0";"266.2 EUR 2024-03-14 "
"158";"2024-098";"LOG0005156";"UAB JML Group";;"UAB JML Group";"2024-02-21";"30";"2024-03-22";" ";"786,5";"EUR";"786,5";"650";"786,5";"0";"786,5";"0";"786.5 EUR 2024-04-18 "
"159";"2024-412";"LOG0005459";"UAB Axis Transport";;"UAB Axis Transport";"2024-07-04";"45";"2024-08-18";" ";"157,3";"EUR";"157,3";"130";"157,3";"0";"157,3";"0";"157.3 EUR 2024-08-23 "
"160";"2024-737";"LOG0005778";;;"UAB Axis Transport";"2024-11-27";"45";"2025-01-11";" ";"968";"EUR";"968";"800";"968";"0";"968";"0";"968 EUR 2025-01-14 "
"161";"2024-113";"LOG0005170";;;"UAB Axis Transport";"2024-02-28";"45";"2024-04-13";" ";"217,8";"EUR";"217,8";"180";"217,8";"0";"217,8";"0";"217.8 EUR 2024-04-16 "
"162";"2024-366";"LOG0005413";;;"UAB Axis Transport";"2024-06-17";"45";"2024-08-01";" ";"484";"EUR";"484";"400";"484";"0";"484";"0";"484 EUR 2024-08-02 "
"163";"2024-618";"LOG0005662";;;"UAB Axis Transport";"2024-09-30";"45";"2024-11-14";" ";"605";"EUR";"605";"500";"605";"0";"605";"0";"605 EUR 2024-11-26 "
"164";"2024-451";"LOG0005495";;;"UAB Axis Transport";"2024-07-24";"45";"2024-09-07";" ";"1210";"EUR";"1210";"1000";"1210";"0";"1210";"0";"1210 EUR 2024-09-10 "
"165";"2024-471";"LOG0005514";;;"UAB Axis Transport";"2024-07-31";"45";"2024-09-14";" ";"145,2";"EUR";"145,2";"120";"145,2";"0";"145,2";"0";"145.2 EUR 2024-09-17 "
"166";"2024-336";"LOG0005392";;;"UAB Axis Transport";"2024-06-07";"45";"2024-07-22";" ";"157,3";"EUR";"157,3";"130";"157,3";"0";"157,3";"0";"157.3 EUR 2024-07-26 "
"167";"2024-719";"LOG0005763";;;"UAB Axis Transport";"2024-11-19";"45";"2025-01-03";" ";"726";"EUR";"726";"600";"726";"0";"726";"0";"726 EUR 2025-01-03 "
"168";"2024-188";"LOG0005250";;;"UAB Axis Transport";"2024-03-29";"45";"2024-05-13";" ";"1270,5";"EUR";"1270,5";"1050";"1270,5";"0";"1270,5";"0";"1270.5 EUR 2024-05-14 "
"169";"2024-363";"LOG0005410";;;"UAB Axis Transport";"2024-06-17";"45";"2024-08-01";" ";"883,3";"EUR";"883,3";"730";"883,3";"0";"883,3";"0";"883.3 EUR 2024-08-02 "
"170";"2024-394";"LOG0005442";;;"UAB Axis Transport";"2024-06-28";"45";"2024-08-12";" ";"883,3";"EUR";"883,3";"730";"883,3";"0";"883,3";"0";"883.3 EUR 2024-08-13 "
"171";"2024-421";"LOG0005467";;;"UAB Axis Transport";"2024-07-15";"45";"2024-08-29";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-08-30 "
"172";"2024-381";"LOG0005428";;;"UAB Axis Transport";"2024-06-27";"45";"2024-08-11";" ";"100";"EUR";"100";"100";"100";"0";"100";"0";"100 EUR 2024-08-13 "
"173";"2024-399";"LOG0005447";;;"UAB Axis Transport";"2024-06-28";"45";"2024-08-12";" ";"1089";"EUR";"1089";"900";"1089";"0";"1089";"0";"1089 EUR 2024-08-13 "
"174";"2024-355";"LOG0005402";;;"UAB Axis Transport";"2024-06-17";"45";"2024-08-01";" ";"302,5";"EUR";"302,5";"250";"302,5";"0";"302,5";"0";"302.5 EUR 2024-08-02 "
"VISO:";"";"";"";"";"";"";"";"";"";"9441.2";"";"9441.2";"7820";"9441.2";"0";"9441.2";"0";""
"175";"2024-122";"LOG0005179";"UAB Jumbo Transport";;"UAB Jumbo Transport";"2024-02-28";"30";"2024-03-29";" ";"950";"EUR";"950";"950";"950";"0";"950";"0";"950 EUR 2024-04-16 "
"176";"2024-078";"LOG0005136";"UAB Transkesta";;"UAB Transkesta";"2024-02-09";"45";"2024-03-25";" ";"302,5";"EUR";"302,5";"250";"302,5";"0";"302,5";"0";"302.5 EUR 2024-03-14 "
"177";"2024-748";"LOG0005791";"UAB Acurita";;"UAB Acurita";"2024-11-29";"45";"2025-01-13";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2025-01-13 "
"178";"2024-320";"LOG0005376";;;"UAB Acurita";"2024-06-07";"45";"2024-07-22";" ";"520";"EUR";"520";"520";"520";"0";"520";"0";"520 EUR 2024-07-23 "
"179";"2024-590";"LOG0005625";;;"UAB Acurita";"2024-09-24";"45";"2024-11-08";" ";"1250";"EUR";"1250";"1250";"1250";"0";"1250";"0";"1250 EUR 2024-11-20 "
"180";"2024-286";"LOG0005343";;;"UAB Acurita";"2024-05-15";"45";"2024-06-29";" ";"260";"EUR";"260";"260";"260";"0";"260";"0";"260 EUR 2024-07-02 "
"181";"2024-754";"LOG0005800";;;"UAB Acurita";"2024-12-06";"45";"2025-01-20";" ";"423,5";"EUR";"423,5";"350";"423,5";"0";"423,5";"0";"423.5 EUR 2025-01-13 "
"182";"2024-553";"LOG0005592";;;"UAB Acurita";"2024-09-11";"45";"2024-10-26";" ";"762,3";"EUR";"762,3";"630";"762,3";"0";"762,3";"0";"762.3 EUR 2024-10-30 "
"183";"2024-311";"LOG0005368";;;"UAB Acurita";"2024-05-31";"45";"2024-07-15";" ";"381,15";"EUR";"381,15";"315";"381,15";"0";"381,15";"0";"381.15 EUR 2024-07-23 "
"184";"2024-670";"LOG0005707";;;"UAB Acurita";"2024-10-31";"45";"2024-12-15";" ";"169,4";"EUR";"169,4";"140";"169,4";"0";"169,4";"0";"169.4 EUR 2025-01-13 "
"185";"2024-390";"LOG0005438";;;"UAB Acurita";"2024-06-28";"45";"2024-08-12";" ";"447,7";"EUR";"447,7";"370";"447,7";"0";"447,7";"0";"447.7 EUR 2024-08-13 "
"186";"2024-604";"LOG0005649";;;"UAB Acurita";"2024-09-30";"45";"2024-11-14";" ";"450";"EUR";"450";"450";"450";"0";"450";"0";"450 EUR 2024-12-04 "
"187";"2024-510";"LOG0005553";;;"UAB Acurita";"2024-08-28";"45";"2024-10-12";" ";"847";"EUR";"847";"700";"847";"0";"847";"0";"847 EUR 2024-10-14 "
"188";"2024-228";"LOG0005284";;;"UAB Acurita";"2024-04-15";"45";"2024-05-30";" ";"880";"EUR";"880";"880";"880";"0";"880";"0";"880 EUR 2024-06-04 "
"189";"2024-529";"LOG0005572";;;"UAB Acurita";"2024-08-30";"45";"2024-10-14";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-10-18 "
"190";"2024-150";"LOG0005206";;;"UAB Acurita";"2024-03-14";"45";"2024-04-28";" ";"400";"EUR";"400";"400";"400";"0";"400";"0";"400 EUR 2024-05-06 "
"191";"2024-551";"LOG0005590";;;"UAB Acurita";"2024-09-11";"45";"2024-10-26";" ";"830";"EUR";"830";"830";"830";"0";"830";"0";"830 EUR 2024-10-30 "
"192";"2024-104";"LOG0005161";;;"UAB Acurita";"2024-02-21";"45";"2024-04-06";" ";"181,5";"EUR";"181,5";"150";"181,5";"0";"181,5";"0";"181.5 EUR 2024-04-09 "
"193";"2024-535";"LOG0005577";;;"UAB Acurita";"2024-09-04";"45";"2024-10-19";" ";"300";"EUR";"300";"300";"300";"0";"300";"0";"300 EUR 2024-10-18 "
"194";"2024-388";"LOG0005436";;;"UAB Acurita";"2024-06-28";"45";"2024-08-12";" ";"100";"EUR";"100";"100";"100";"0";"100";"0";"100 EUR 2024-08-13 "
"195";"2024-240";"LOG0005295";;;"UAB Acurita";"2024-04-17";"45";"2024-06-01";" ";"520,3";"EUR";"520,3";"430";"520,3";"0";"520,3";"0";"520.3 EUR 2024-06-04 "
"196";"2024-627";"LOG0005666";;;"UAB Acurita";"2024-10-10";"45";"2024-11-24";" ";"363";"EUR";"363";"300";"363";"0";"363";"0";"363 EUR 2024-12-04 "
"197";"2024-643";"LOG0005685";;;"UAB Acurita";"2024-10-18";"45";"2024-12-02";" ";"820";"EUR";"820";"820";"820";"0";"820";"0";"820 EUR 2024-12-04 "
"198";"2024-592";"LOG0005627";;;"UAB Acurita";"2024-09-24";"45";"2024-11-08";" ";"441,65";"EUR";"441,65";"365";"441,65";"0";"441,65";"0";"441.65 EUR 2024-11-20 "
"199";"2024-475";"LOG0005518";;;"UAB Acurita";"2024-07-31";"45";"2024-09-14";" ";"250";"EUR";"250";"250";"250";"0";"250";"0";"250 EUR 2024-09-17 "
"200";"2024-334";"LOG0005390";;;"UAB Acurita";"2024-06-07";"45";"2024-07-22";" ";"700";"EUR";"700";"700";"700";"0";"700";"0";"700 EUR 2024-07-23 "
"201";"2024-427";"LOG0005473";;;"UAB Acurita";"2024-07-15";"45";"2024-08-29";" ";"220";"EUR";"220";"220";"220";"0";"220";"0";"220 EUR 2024-09-02 "
"202";"2024-632";"LOG0005671";;;"UAB Acurita";"2024-10-10";"45";"2024-11-24";" ";"181,5";"EUR";"181,5";"150";"181,5";"0";"181,5";"0";"181.5 EUR 2024-12-04 "
"203";"2024-533";"LOG0005575";;;"UAB Acurita";"2024-09-04";"45";"2024-10-19";" ";"820";"EUR";"820";"820";"820";"0";"820";"0";"820 EUR 2024-10-18 "
"204";"2024-261";"LOG0005319";;;"UAB Acurita";"2024-04-30";"45";"2024-06-14";" ";"230";"EUR";"230";"230";"230";"0";"230";"0";"230 EUR 2024-06-21 "
"205";"2024-591";"LOG0005626";;;"UAB Acurita";"2024-09-24";"45";"2024-11-08";" ";"300";"EUR";"300";"300";"300";"0";"300";"0";"300 EUR 2024-11-20 "
"206";"2024-625";"LOG0005677";;;"UAB Acurita";"2024-10-10";"45";"2024-11-24";" ";"200";"EUR";"200";"200";"200";"0";"200";"0";"200 EUR 2024-12-04 "
"207";"2024-165";"LOG0005229";;;"UAB Acurita";"2024-03-21";"45";"2024-05-05";" ";"50";"EUR";"50";"50";"50";"0";"50";"0";"50 EUR 2024-05-06 "
"VISO:";"";"";"";"";"";"";"";"";"";"13783";"";"13783";"12880";"13783";"0";"13783";"0";""
"208";"2024-597";"LOG0005632";"UAB Treka";;"UAB Treka";"2024-09-24";"45";"2024-11-08";" ";"726";"EUR";"726";"600";"726";"0";"726";"0";"726 EUR 2024-11-14 "
"209";"2024-287";"LOG0005344";;;"UAB Treka";"2024-05-15";"45";"2024-06-29";" ";"810,7";"EUR";"810,7";"670";"810,7";"0";"810,7";"0";"810.7 EUR 2024-06-21 "
"210";"2024-016";"LOG0005075";;;"UAB Treka";"2024-01-17";"45";"2024-03-02";" ";"175,45";"EUR";"175,45";"145";"175,45";"0";"175,45";"0";"175.45 EUR 2024-03-12 "
"211";"2024-584";"LOG0005619";;;"UAB Treka";"2024-09-24";"45";"2024-11-08";" ";"423,5";"EUR";"423,5";"350";"423,5";"0";"423,5";"0";"423.5 EUR 2024-11-20 "
"212";"2024-293";"LOG0005350";;;"UAB Treka";"2024-05-23";"45";"2024-07-07";" ";"1633,5";"EUR";"1633,5";"1350";"1633,5";"0";"1633,5";"0";"1633.5 EUR 2024-07-12 "
"213";"2024-386";"LOG0005433";;;"UAB Treka";"2024-06-27";"45";"2024-08-11";" ";"525";"EUR";"525";"525";"525";"0";"525";"0";"525 EUR 2024-08-20 "
"214";"2024-044";"LOG0005100";;;"UAB Treka";"2024-01-29";"45";"2024-03-14";" ";"242";"EUR";"242";"200";"242";"0";"242";"0";"242 EUR 2024-03-18 "
"215";"2024-185";"LOG0005247";;;"UAB Treka";"2024-03-29";"45";"2024-05-13";" ";"435,6";"EUR";"435,6";"360";"435,6";"0";"435,6";"0";"435.6 EUR 2024-05-21 "
"216";"2024-159";"LOG0005215";;;"UAB Treka";"2024-03-14";"45";"2024-04-28";" ";"381,15";"EUR";"381,15";"315";"381,15";"0";"381,15";"0";"381.15 EUR 2024-05-02 "
"217";"2024-714";"LOG0005759";;;"UAB Treka";"2024-11-15";"45";"2024-12-30";" ";"217,8";"EUR";"217,8";"180";"217,8";"0";"217,8";"0";"217.8 EUR 2025-01-10 "
"218";"2024-126";"LOG0005183";;;"UAB Treka";"2024-02-28";"45";"2024-04-13";" ";"133,1";"EUR";"133,1";"110";"133,1";"0";"133,1";"0";"133.1 EUR 2024-04-18 "
"219";"2024-080";"LOG0005138";;;"UAB Treka";"2024-02-09";"45";"2024-03-25";" ";"955,9";"EUR";"955,9";"790";"955,9";"0";"955,9";"0";"955.9 EUR 2024-04-02 "
"220";"2024-465";"LOG0005509";;;"UAB Treka";"2024-07-24";"45";"2024-09-07";" ";"992,2";"EUR";"992,2";"820";"992,2";"0";"992,2";"0";"992.2 EUR 2024-09-16 "
"221";"2024-220";"LOG0005272";;;"UAB Treka";"2024-04-15";"45";"2024-05-30";" ";"834,9";"EUR";"834,9";"690";"834,9";"0";"834,9";"0";"834.9 EUR 2024-06-04 "
"222";"2024-611";"LOG0005656";;;"UAB Treka";"2024-09-30";"45";"2024-11-14";" ";"205,7";"EUR";"205,7";"170";"205,7";"0";"205,7";"0";"205.7 EUR 2024-11-29 "
"223";"2024-761";"LOG0005806";;;"UAB Treka";"2024-12-09";"45";"2025-01-23";" ";"338,8";"EUR";"338,8";"280";"338,8";"0";"338,8";"0";"338.8 EUR 2025-01-29 "
"224";"2024-008";"LOG0005067";;;"UAB Treka";"2024-01-17";"45";"2024-03-02";" ";"647,35";"EUR";"647,35";"535";"647,35";"0";"647,35";"0";"647.35 EUR 2024-03-07 "
"225";"2024-235";"LOG0005291";;;"UAB Treka";"2024-04-15";"45";"2024-05-30";" ";"1000";"EUR";"1000";"1000";"1000";"0";"1000";"0";"1000 EUR 2024-06-04 "
"226";"2024-472";"LOG0005515";;;"UAB Treka";"2024-07-31";"45";"2024-09-14";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-09-23 "
"227";"2024-317";"LOG0005374";;;"UAB Treka";"2024-05-31";"45";"2024-07-15";" ";"278,3";"EUR";"278,3";"230";"278,3";"0";"278,3";"0";"278.3 EUR 2024-07-23 "
"228";"2024-652";"LOG0005694";;;"UAB Treka";"2024-10-18";"45";"2024-12-02";" ";"490";"EUR";"490";"490";"490";"0";"490";"0";"490 EUR 2024-12-10 "
"229";"2024-713";"LOG0005758";;;"UAB Treka";"2024-11-15";"45";"2024-12-30";" ";"760";"EUR";"760";"760";"760";"0";"760";"0";"760 EUR 2025-01-10 "
"230";"2024-014";"LOG0005073";;;"UAB Treka";"2024-01-17";"45";"2024-03-02";" ";"245";"EUR";"245";"245";"245";"0";"245";"0";"245 EUR 2024-03-12 "
"231";"2024-682";"LOG0005719";;;"UAB Treka";"2024-10-31";"45";"2024-12-15";" ";"859,1";"EUR";"859,1";"710";"859,1";"0";"859,1";"0";"859.1 EUR 2024-12-27 "
"232";"2024-310";"LOG0005367";;;"UAB Treka";"2024-05-31";"45";"2024-07-15";" ";"229,9";"EUR";"229,9";"190";"229,9";"0";"229,9";"0";"229.9 EUR 2024-07-23 "
"233";"2024-297";"LOG0005354";;;"UAB Treka";"2024-05-23";"45";"2024-07-07";" ";"200";"EUR";"200";"200";"200";"0";"200";"0";"200 EUR 2024-07-12 "
"234";"2024-042";"LOG0005098";;;"UAB Treka";"2024-01-29";"45";"2024-03-14";" ";"798,6";"EUR";"798,6";"660";"798,6";"0";"798,6";"0";"798.6 EUR 2024-03-18 "
"235";"2024-316";"LOG0005373";;;"UAB Treka";"2024-05-31";"45";"2024-07-15";" ";"508,2";"EUR";"508,2";"420";"508,2";"0";"508,2";"0";"508.2 EUR 2024-07-23 "
"236";"2024-377";"LOG0005424";;;"UAB Treka";"2024-06-27";"45";"2024-08-11";" ";"750";"EUR";"750";"750";"750";"0";"750";"0";"750 EUR 2024-08-20 "
"237";"2024-545";"LOG0005584";;;"UAB Treka";"2024-09-11";"45";"2024-10-26";" ";"762,3";"EUR";"762,3";"630";"762,3";"0";"762,3";"0";"762.3 EUR 2024-10-31 "
"238";"2024-766";"LOG0005811";;;"UAB Treka";"2024-12-09";"45";"2025-01-23";" ";"381,15";"EUR";"381,15";"315";"381,15";"0";"381,15";"0";"381.15 EUR 2025-01-29 "
"239";"2024-628";"LOG0005667";;;"UAB Treka";"2024-10-10";"45";"2024-11-24";" ";"732,05";"EUR";"732,05";"605";"732,05";"0";"732,05";"0";"732.05 EUR 2024-11-29 "
"240";"2024-668";"LOG0005705";;;"UAB Treka";"2024-10-31";"45";"2024-12-15";" ";"1452";"EUR";"1452";"1200";"1452";"0";"1452";"0";"1452 EUR 2024-12-27 "
"241";"2024-070";"LOG0005129";;;"UAB Treka";"2024-02-09";"45";"2024-03-25";" ";"675";"EUR";"675";"675";"675";"0";"675";"0";"675 EUR 2024-04-02 "
"242";"2024-695";"LOG0005737";;;"UAB Treka";"2024-11-11";"45";"2024-12-26";" ";"471,9";"EUR";"471,9";"390";"471,9";"0";"471,9";"0";"471.9 EUR 2025-01-07 "
"243";"2024-156";"LOG0005212";;;"UAB Treka";"2024-03-14";"45";"2024-04-28";" ";"450";"EUR";"450";"450";"450";"0";"450";"0";"450 EUR 2024-05-02 "
"244";"2024-775";"LOG0005820";;;"UAB Treka";"2024-12-19";"45";"2025-02-02";" ";"320,65";"EUR";"320,65";"265";"320,65";"0";"320,65";"0";"320.65 EUR 2025-02-11 "
"245";"2024-579";"LOG0005615";;;"UAB Treka";"2024-09-23";"45";"2024-11-07";" ";"278,3";"EUR";"278,3";"230";"278,3";"0";"278,3";"0";"278.3 EUR 2024-11-14 "
"246";"2024-335";"LOG0005391";;;"UAB Treka";"2024-06-07";"45";"2024-07-22";" ";"326,7";"EUR";"326,7";"270";"326,7";"0";"326,7";"0";"326.7 EUR 2024-07-31 "
"247";"2024-322";"LOG0005378";;;"UAB Treka";"2024-06-07";"45";"2024-07-22";" ";"508,2";"EUR";"508,2";"420";"508,2";"0";"508,2";"0";"508.2 EUR 2024-07-31 "
"248";"2024-248";"LOG0005301";;;"UAB Treka";"2024-04-26";"45";"2024-06-10";" ";"157,3";"EUR";"157,3";"130";"157,3";"0";"157,3";"0";"157.3 EUR 2024-06-19 "
"249";"2024-198";"LOG0005269";;;"UAB Treka";"2024-03-29";"45";"2024-05-13";" ";"290,4";"EUR";"290,4";"240";"290,4";"0";"290,4";"0";"290.4 EUR 2024-05-24 "
"250";"2024-024";"LOG0005083";;;"UAB Treka";"2024-01-18";"45";"2024-03-03";" ";"774,4";"EUR";"774,4";"640";"774,4";"0";"774,4";"0";"774.4 EUR 2024-03-12 "
"251";"2024-089";"LOG0005147";;;"UAB Treka";"2024-02-15";"45";"2024-03-31";" ";"380";"EUR";"380";"380";"380";"0";"380";"0";"380 EUR 2024-04-04 "
"252";"2024-140";"LOG0005198";;;"UAB Treka";"2024-03-06";"45";"2024-04-20";" ";"910";"EUR";"910";"910";"910";"0";"910";"0";"910 EUR 2024-04-23 "
"253";"2024-011";"LOG0005070";;;"UAB Treka";"2024-01-17";"45";"2024-03-02";" ";"423,5";"EUR";"423,5";"350";"423,5";"0";"423,5";"0";"423.5 EUR 2024-03-07 "
"254";"2024-578";"LOG0005614";;;"UAB Treka";"2024-09-23";"45";"2024-11-07";" ";"475";"EUR";"475";"475";"475";"0";"475";"0";"475 EUR 2024-11-14 "
